Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,mate_type,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,STAGE,strain,chip_antibody,assay_type
SRR26412344,ChIP-Seq,300,10504494000,PRJNA1029155,SAMN37860921,3353802452,SHANGHAI INSTITUTE OF NUTRITION AND HEALTH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22117662,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7845721,PAIRED,ChIP,GENOMIC,mt+,Chlamydomonas reinhardtii,ILLUMINA,2024-08-20T00:00:00Z,2023-10-17T16:34:00Z,1,GSM7845721,CC-5155,SRP466867,vegetative stage,CC-5155,none,
SRR26412345,ChIP-Seq,300,14006917200,PRJNA1029155,SAMN37860922,4528440689,SHANGHAI INSTITUTE OF NUTRITION AND HEALTH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22117661,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7845720,PAIRED,ChIP,GENOMIC,mt+,Chlamydomonas reinhardtii,ILLUMINA,2024-08-20T00:00:00Z,2023-10-17T16:41:00Z,1,GSM7845720,CC-5155,SRP466867,vegetative stage,CC-5155,"H3K9me1 (Abcam\, #ab9045)",
SRR26412352,ChIP-Seq,300,5062911300,PRJNA1029155,SAMN37860929,1634317989,SHANGHAI INSTITUTE OF NUTRITION AND HEALTH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22117654,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7845713,PAIRED,ChIP,GENOMIC,mt+,Chlamydomonas reinhardtii,ILLUMINA,2024-08-20T00:00:00Z,2023-10-17T16:31:00Z,1,GSM7845713,CC-5155,SRP466867,vegetative stage,CC-5155,none,
SRR26412353,ChIP-Seq,300,7989836100,PRJNA1029155,SAMN37860930,3032980024,SHANGHAI INSTITUTE OF NUTRITION AND HEALTH,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22117653,WT,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7845712,PAIRED,ChIP,GENOMIC,mt+,Chlamydomonas reinhardtii,ILLUMINA,2024-08-20T00:00:00Z,2023-10-17T16:31:00Z,1,GSM7845712,CC-5155,SRP466867,vegetative stage,CC-5155,"H3K4me1 (Abcam\, #ab8895)",
